시군구별,연도,월,남자,여자,전체,성비
경기도,1997,03,6764.0,6294.0,13058.0,1.0746742929774389
경기도,1997,04,6271.0,5830.0,12101.0,1.0756432246998284
경기도,1997,05,6083.0,5561.0,11644.0,1.0938680093508362
경기도,1997,06,5764.0,5082.0,10846.0,1.1341991341991342
경기도,1997,07,5700.0,5520.0,11220.0,1.0326086956521738
경기도,1997,08,5859.0,5494.0,11353.0,1.0664361121223151
경기도,1997,09,6198.0,5744.0,11942.0,1.0790389972144847
경기도,1997,10,6297.0,5858.0,12155.0,1.0749402526459542
경기도,1997,11,5852.0,5382.0,11234.0,1.0873281308063916
경기도,1997,12,5916.0,5759.0,11675.0,1.0272616773745442
경기도,1998,01,6745.0,6373.0,13118.0,1.0583712537266594
경기도,1998,02,6272.0,5784.0,12056.0,1.0843706777316735
경기도,1998,03,6658.0,6191.0,12849.0,1.0754320788240994
경기도,1998,04,6133.0,5604.0,11737.0,1.0943968593861528
경기도,1998,05,5744.0,5171.0,10915.0,1.1108102881454265
경기도,1998,06,5578.0,5136.0,10714.0,1.0860591900311527
경기도,1998,07,5501.0,5092.0,10593.0,1.0803220738413197
경기도,1998,08,5599.0,5196.0,10795.0,1.0775596612779061
경기도,1998,09,5936.0,5539.0,11475.0,1.0716735872901246
경기도,1998,10,5881.0,5309.0,11190.0,1.1077415709173102
경기도,1998,11,5656.0,5058.0,10714.0,1.118228548833531
경기도,1998,12,5714.0,5196.0,10910.0,1.0996920708237106
경기도,1999,01,6648.0,6074.0,12722.0,1.0945011524530788
경기도,1999,02,6011.0,5586.0,11597.0,1.0760830648048694
경기도,1999,03,6419.0,5958.0,12377.0,1.0773749580396106
경기도,1999,04,5872.0,5372.0,11244.0,1.0930752047654504
경기도,1999,05,5759.0,5181.0,10940.0,1.1115614746187994
경기도,1999,06,5325.0,4818.0,10143.0,1.1052303860523038
경기도,1999,07,5505.0,5087.0,10592.0,1.0821702378612148
경기도,1999,08,5376.0,5080.0,10456.0,1.058267716535433
경기도,1999,09,5743.0,5283.0,11026.0,1.087071739541927
경기도,1999,10,6003.0,5421.0,11424.0,1.107360265633647
경기도,1999,11,5712.0,5226.0,10938.0,1.092996555683123
경기도,1999,12,5614.0,5262.0,10876.0,1.0668947168377043
경기도,2000,01,7137.0,6390.0,13527.0,1.1169014084507043
경기도,2000,02,6477.0,5960.0,12437.0,1.086744966442953
경기도,2000,03,6905.0,6252.0,13157.0,1.1044465770953296
경기도,2000,04,6140.0,5558.0,11698.0,1.104713925872616
경기도,2000,05,5927.0,5435.0,11362.0,1.090524379024839
경기도,2000,06,5461.0,5030.0,10491.0,1.085685884691849
경기도,2000,07,5509.0,5173.0,10682.0,1.0649526387009471
경기도,2000,08,5897.0,5359.0,11256.0,1.10039186415376
경기도,2000,09,6092.0,5616.0,11708.0,1.0847578347578348
경기도,2000,10,6285.0,5841.0,12126.0,1.076014381099127
경기도,2000,11,6235.0,5714.0,11949.0,1.091179558977949
경기도,2000,12,5956.0,5355.0,11311.0,1.1122315592903829
경기도,2001,01,6581.0,6118.0,12699.0,1.0756783262504086
경기도,2001,02,5869.0,5445.0,11314.0,1.0778696051423324
경기도,2001,03,6300.0,5934.0,12234.0,1.0616784630940344
경기도,2001,04,5666.0,5145.0,10811.0,1.1012633624878523
경기도,2001,05,5378.0,5075.0,10453.0,1.059704433497537
경기도,2001,06,4933.0,4591.0,9524.0,1.0744935743846658
경기도,2001,07,4960.0,4825.0,9785.0,1.027979274611399
경기도,2001,08,5200.0,4689.0,9889.0,1.108978460226061
경기도,2001,09,5415.0,4928.0,10343.0,1.098823051948052
경기도,2001,10,5324.0,4826.0,10150.0,1.1031910484873602
경기도,2001,11,5034.0,4506.0,9540.0,1.1171770972037283
경기도,2001,12,4857.0,4665.0,9522.0,1.0411575562700965
경기도,2002,01,5893.0,5481.0,11374.0,1.0751687648239372
경기도,2002,02,5263.0,4926.0,10189.0,1.0684125050751117
경기도,2002,03,5815.0,5235.0,11050.0,1.110792741165234
경기도,2002,04,5339.0,4953.0,10292.0,1.0779325661215424
경기도,2002,05,5196.0,4672.0,9868.0,1.1121575342465753
경기도,2002,06,4643.0,4243.0,8886.0,1.0942729201037003
경기도,2002,07,4903.0,4477.0,9380.0,1.0951530042439133
경기도,2002,08,4897.0,4412.0,9309.0,1.1099274705349047
경기도,2002,09,4896.0,4570.0,9466.0,1.0713347921225382
경기도,2002,10,4768.0,4550.0,9318.0,1.047912087912088
경기도,2002,11,4665.0,4401.0,9066.0,1.059986366734833
경기도,2002,12,4578.0,4078.0,8656.0,1.1226091221186856
경기도,2003,01,5675.0,5297.0,10972.0,1.0713611478195204
경기도,2003,02,5195.0,4877.0,10072.0,1.0652040188640557
경기도,2003,03,5937.0,5475.0,11412.0,1.0843835616438355
경기도,2003,04,5403.0,5003.0,10406.0,1.0799520287827304
경기도,2003,05,5087.0,4652.0,9739.0,1.0935081685296646
경기도,2003,06,4672.0,4223.0,8895.0,1.106322519535875
경기도,2003,07,4715.0,4543.0,9258.0,1.0378604446401056
경기도,2003,08,4865.0,4504.0,9369.0,1.0801509769094138
경기도,2003,09,5341.0,4988.0,10329.0,1.0707698476343224
경기도,2003,10,5469.0,5101.0,10570.0,1.0721427171142912
경기도,2003,11,5129.0,4816.0,9945.0,1.0649916943521596
경기도,2003,12,4915.0,4551.0,9466.0,1.079982421445836
경기도,2004,01,5892.0,5366.0,11258.0,1.0980245993291091
경기도,2004,02,5154.0,4984.0,10138.0,1.0341091492776886
경기도,2004,03,5768.0,5366.0,11134.0,1.074916138650764
경기도,2004,04,5232.0,4878.0,10110.0,1.072570725707257
경기도,2004,05,4995.0,4633.0,9628.0,1.078135117634362
경기도,2004,06,4615.0,4252.0,8867.0,1.0853715898400753
경기도,2004,07,4779.0,4468.0,9247.0,1.0696060877350044
경기도,2004,08,4839.0,4560.0,9399.0,1.0611842105263158
경기도,2004,09,5084.0,4682.0,9766.0,1.085860743272106
경기도,2004,10,5226.0,4903.0,10129.0,1.0658780338568223
경기도,2004,11,4822.0,4624.0,9446.0,1.0428200692041523
경기도,2004,12,4447.0,4243.0,8690.0,1.0480791892528871
경기도,2005,01,5184.0,4936.0,10120.0,1.0502431118314424
경기도,2005,02,4532.0,4356.0,8888.0,1.0404040404040404
경기도,2005,03,5141.0,4924.0,10065.0,1.0440698619008937
경기도,2005,04,4750.0,4418.0,9168.0,1.075147125396107
경기도,2005,05,4602.0,4429.0,9031.0,1.0390607360578008
경기도,2005,06,4356.0,4106.0,8462.0,1.060886507549927
경기도,2005,07,4654.0,4198.0,8852.0,1.1086231538828013
경기도,2005,08,4673.0,4305.0,8978.0,1.0854819976771197
경기도,2005,09,4790.0,4531.0,9321.0,1.057161774442728
경기도,2005,10,4893.0,4606.0,9499.0,1.0623100303951367
경기도,2005,11,4623.0,4290.0,8913.0,1.0776223776223777
경기도,2005,12,4356.0,3880.0,8236.0,1.122680412371134
경기도,2006,01,5218.0,4892.0,10110.0,1.0666394112837285
경기도,2006,02,4858.0,4598.0,9456.0,1.0565463244889082
경기도,2006,03,5430.0,5016.0,10446.0,1.082535885167464
경기도,2006,04,4864.0,4641.0,9505.0,1.0480499892264599
경기도,2006,05,4992.0,4679.0,9671.0,1.0668946356058986
경기도,2006,06,4714.0,4435.0,9149.0,1.0629086809470123
경기도,2006,07,4623.0,4308.0,8931.0,1.0731197771587744
경기도,2006,08,4949.0,4610.0,9559.0,1.0735357917570498
경기도,2006,09,5110.0,4724.0,9834.0,1.0817104149026249
경기도,2006,10,5046.0,4850.0,9896.0,1.0404123711340205
경기도,2006,11,5041.0,4581.0,9622.0,1.1004147566033617
경기도,2006,12,4680.0,4252.0,8932.0,1.1006585136406397
경기도,2007,01,5692.0,5394.0,11086.0,1.0552465702632554
경기도,2007,02,5132.0,4990.0,10122.0,1.0284569138276554
경기도,2007,03,5786.0,5436.0,11222.0,1.0643855776306108
경기도,2007,04,5123.0,5026.0,10149.0,1.019299641862316
경기도,2007,05,5337.0,4875.0,10212.0,1.0947692307692307
경기도,2007,06,4733.0,4535.0,9268.0,1.0436604189636163
경기도,2007,07,5220.0,4868.0,10088.0,1.0723089564502877
경기도,2007,08,5740.0,5577.0,11317.0,1.0292271830733368
경기도,2007,09,5996.0,5502.0,11498.0,1.089785532533624
경기도,2007,10,5920.0,5674.0,11594.0,1.0433556573845613
경기도,2007,11,5388.0,5316.0,10704.0,1.0135440180586908
경기도,2007,12,4876.0,4512.0,9388.0,1.0806737588652482
경기도,2008,01,6167.0,5838.0,12005.0,1.0563549160671464
경기도,2008,02,5281.0,4953.0,10234.0,1.066222491419342
경기도,2008,03,5510.0,5021.0,10531.0,1.0973909579764987
경기도,2008,04,5123.0,4755.0,9878.0,1.0773922187171399
경기도,2008,05,5048.0,4662.0,9710.0,1.0827970827970828
경기도,2008,06,4623.0,4361.0,8984.0,1.0600779637697775
경기도,2008,07,5004.0,4693.0,9697.0,1.0662689111442574
경기도,2008,08,4894.0,4776.0,9670.0,1.0247068676716917
경기도,2008,09,5210.0,5208.0,10418.0,1.000384024577573
경기도,2008,10,5246.0,4964.0,10210.0,1.056809024979855
경기도,2008,11,4818.0,4432.0,9250.0,1.0870938628158844
경기도,2008,12,4456.0,4354.0,8810.0,1.0234267340376666
경기도,2009,01,5806.0,5420.0,11226.0,1.0712177121771218
경기도,2009,02,4810.0,4607.0,9417.0,1.0440633818102887
경기도,2009,03,5327.0,4925.0,10252.0,1.0816243654822335
경기도,2009,04,4945.0,4590.0,9535.0,1.0773420479302833
경기도,2009,05,4715.0,4461.0,9176.0,1.056937906299036
경기도,2009,06,4436.0,4317.0,8753.0,1.0275654389622424
경기도,2009,07,4792.0,4440.0,9232.0,1.0792792792792794
경기도,2009,08,4626.0,4453.0,9079.0,1.0388502133393218
경기도,2009,09,4962.0,4865.0,9827.0,1.0199383350462488
경기도,2009,10,4983.0,4753.0,9736.0,1.0483904902167052
경기도,2009,11,4548.0,4358.0,8906.0,1.0435979807251032
경기도,2009,12,4426.0,4127.0,8553.0,1.0724497213472255
경기도,2010,01,5660.0,5349.0,11009.0,1.0581417087306038
경기도,2010,02,4799.0,4494.0,9293.0,1.0678682688028482
경기도,2010,03,5346.0,5099.0,10445.0,1.0484408707589723
경기도,2010,04,5090.0,4647.0,9737.0,1.09533032063697
경기도,2010,05,4954.0,4554.0,9508.0,1.087834870443566
경기도,2010,06,4724.0,4506.0,9230.0,1.0483799378606302
경기도,2010,07,4958.0,4725.0,9683.0,1.0493121693121694
경기도,2010,08,5141.0,4850.0,9991.0,1.06
경기도,2010,09,5724.0,5407.0,11131.0,1.058627704827076
경기도,2010,10,5872.0,5582.0,11454.0,1.0519527051236115
경기도,2010,11,5593.0,5224.0,10817.0,1.070635528330781
경기도,2010,12,4867.0,4588.0,9455.0,1.0608108108108107
